,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
1077,JuliaMartinH,"@Chase_Hudson_ Do I spy a subtweet, sir? https://t.co/X5lkh2zMBh",942918057554530304,Chase_Hudson_,"The most non-confrontational people in my life, are also the biggest Road Ragers in my life.
🤔🤔🤔",942901325708263426
1078,Olive_Autist,@JRx_world Nice subtweet,942910741711122432,nuty_professor,imagining naming ur child after a pagan goddess,942909285654257665
1079,CrzyCanucklehed,@Classlicity (im assuming this is a subtweet of another tweet i saw),942910677529882624,Classlicity,"""Sheltered"" or ""put in a position to succeed to the best of their abilities so that the whole team is bettered""?",942893907980951558
1080,legndofphoenix,"@James2012 And have the balls not to subtweet people, @ them. 😉",942908362777354240,James2012,"If you're going to insult someone, have the balls to admit you did it",942906849996587008
1081,SomedayNS,@mopthelop this is a subtweet about me,942906922696630273,mopthelop,"been talking with micros about video game lore all day and this is it, this is my fantasy. nerding out with people seated on my palm",942893073100505088
1082,BobbyBill_,@WalidTheMouffin Just gonna subtweet a nigga like that,942904594287529985,WalidTheMouffin,"uzis been a huge mood these past weeks tho, ily uzi",942903984313991168
1083,lila_engel,@BlunderingIdiom is...this a subtweet,942900970702307328,BlunderingIdiom,"Thank you for inviting me to your party. I will spend the next few hours uncomfortable, wondering if it's acceptable for me to leave yet.",721451445200035840
1084,notevengabbytbh,"@cutasterfee You dont have to subtweet me, you can just @ me anytime",942899744380149761,cutasterfee,At any given moment in America there is a sweetie who is doing amazing,942898303213154304
1085,umldol_,@Niramoue subtweet,942899136730247168,Niramoue,the earth-chan meme isn't funny or cute,942898865786818561
1086,Chrissy_NC,@Tearrr_ When I can't figure the subtweet out... https://t.co/Qbbrno4Tdw,942899120280305666,Tearrr_,“Pick me” twitter are always upset,942897874513420296
1087,Whandall,"@vrunt Holy shit, this was an uncalled for subtweet",942899039267299328,vrunt,my main hobby is organizing a game night which never actually occurs,942898633145503744
1088,RealAngryAndy,@rensch025 Hey don't subtweet me.  LOL.  I was talking about this.  Honestly think it's vital for any program that'… https://t.co/snyoRfThpp,942895902326341633,rensch025,will never understand why people hate on juco transfers/recruiting in college football. it’s essential.,942561486072823810
1089,__iLean,@lizzieboujee Lmao! Don't subtweet me girl! 😂😂😂,942893695057014784,lizzieboujee,“She’s probably just jealous of you” -a girl that’s jealous of you,942885084327116800
1090,Banned_Ali,@DavidTDragonite @RoyCalbeck @TheCartoonLoon @FluffehDarkness @GamingAndPandas This whole thread is one big Lo Ping subtweet mate.,942893495722954752,FluffehDarkness,So how long before they start purging?,942880943961968640
1091,AlexaRayC,@GreatWallofChin Is this a Star Wars fan subtweet?,942893094898298880,GreatWallofChin,Hope it was worth what you have given up.,942892701132865536
1092,Ernn_dee,@Uhjulian96 Is this a subtweet ? Just @ me bro 💪🏽,942887835245223936,Uhjulian96,It’s all about who you know 😏,942871895166218241
1093,megelkinsss,@harrisonmobley1 Is this a subtweet,942881892323549184,harrisonmobley1,Somebody get this man a Gatorade,942872831683162112
1094,ItsThe_S_L_I_M,@nezzy21 Look at you out here with the subtweet lmao.,942881129392164867,nezzy21,JH is just showing off his evaluation skills.  NBD,942853833948106753
1095,TheBigShamrock6,"@ThugBeast21 Woah let's not subtweet, go ahead and @ them",942879508973211649,ThugBeast21,No humans alive move as slow as movie stand concession workers,942869338352218112
1096,OhhBeachh,@CodlyB I like the subtweet keep it going (; 😆,942876702631489537,CodlyB,Lmao these people who are getting called top sub players ive gunned their shits so easily. haha,942874535883345926
1097,dirkfensty,@livingforviv Is this a subtweet to me 😭,942867269792567296,livingforviv,"hi if anyone would like to get to know me before I graduate college and move far away, pls don’t.",942602983979622400
1098,ConnorAce_,"@SkozzyM @Pearstrike this should have been a subtweet, missing out on those sweet ironic comedy points smh",942866850295271424,SkozzyM,torje is a idiot loser #drama,942865315674849280
1099,thesamspo,@BlakeOakey subtweet,942866651011096576,BlakeOakey,Unpopular opinion: I think you can be pro women without being anti man 😁,942861125854679041
