,Feature (Non-subtweet),Log Probability (Non-subtweet),Feature (Subtweet),Log Probability (Subtweet)
4305,$ bntn,-12.969525092978847,i'd just,-12.371712393362905
4306,$ bntn tokens,-12.969525092978847,screw,-12.37172906945631
4307,$ btc,-12.969525092978847,😩 😩,-12.371750868105089
4308,$ btc chill,-12.969525092978847,people !,-12.372300537803657
4309,$ btc daily,-12.969525092978847,wired,-12.372313723874713
4310,$ btc end,-12.969525092978847,act like they're,-12.372367518543147
4311,$ bvtk,-12.969525092978847,": ,",-12.372378587688202
4312,$ chek,-12.969525092978847,"thought ,",-12.372632061763964
4313,$ chek fell,-12.969525092978847,you're favorite,-12.372650339459655
4314,$ crc,-12.969525092978847,state ?,-12.372691773628835
4315,$ crc deal,-12.969525092978847,parts,-12.372713820634674
4316,$ crypto,-12.969525092978847,who's ?,-12.372736616373897
4317,$ crypto taxes,-12.969525092978847,. ugh,-12.372800561825517
4318,$ fb,-12.969525092978847,arc,-12.37281113571245
4319,$ fb $,-12.969525092978847,shady,-12.372834788382637
4320,$ fgen's,-12.969525092978847,ya know,-12.37287899083706
4321,$ fgen's upcoming,-12.969525092978847,"happen ,",-12.372954171564125
4322,$ gbpusd,-12.969525092978847,friend 😂,-12.372982606790302
4323,$ gbpusd snap-shot,-12.969525092978847,trans people,-12.373000895441294
4324,$ googl,-12.969525092978847,: .,-12.37301099904883
4325,$ gw,-12.969525092978847,journey,-12.373043511629941
4326,"$ gw ,",-12.969525092978847,like business,-12.37306071879999
4327,$ life,-12.969525092978847,🤔 🤔 🤔,-12.373061699934189
4328,$ life &,-12.969525092978847,hiccups .,-12.373114780800671
4329,$ lmg,-12.969525092978847,hiccups,-12.373114780800671
4330,$ lmg x,-12.969525092978847,mates,-12.373138982363669
4331,$ ltc,-12.969525092978847,people got,-12.373380803858304
4332,$ ltc does,-12.969525092978847,cutting,-12.373432383304396
4333,$ neo,-12.969525092978847,prison,-12.373531020490224
4334,$ nflx,-12.969525092978847,i'll thing,-12.37373868398616
4335,$ nflx $,-12.969525092978847,sin,-12.373777724517641
4336,$ ocn,-12.969525092978847,cultural,-12.37379888578317
4337,$ ocn $,-12.969525092978847,bodies,-12.373805390504891
4338,$ omvs,-12.969525092978847,science .,-12.373857488854798
4339,$ omvs ...,-12.969525092978847,stating,-12.373981248056838
4340,$ paid,-12.969525092978847,flaw,-12.37407703350046
4341,$ paid media,-12.969525092978847,news .,-12.37411030043018
4342,$ sfor,-12.969525092978847,organizing,-12.37412275519968
4343,$ sfor $,-12.969525092978847,leafs,-12.374249238114265
4344,$ spy,-12.969525092978847,laid,-12.374283648806788
4345,$ spy week,-12.969525092978847,rate,-12.374331286406381
4346,$ srmx,-12.969525092978847,. wanna,-12.374417159903553
4347,$ srmx don't,-12.969525092978847,bush,-12.374563986871095
4348,$ stupid,-12.969525092978847,pronounced,-12.374600536419937
4349,$ stupid parades,-12.969525092978847,meee,-12.374716769043163
4350,$ tomorrow,-12.969525092978847,poorly,-12.374780639345163
4351,$ tomorrow pay,-12.969525092978847,hat,-12.374873024323861
4352,$ tsla,-12.969525092978847,really don't understand,-12.374904675678634
4353,$ tsla undertook,-12.969525092978847,criteria,-12.37490827534203
4354,$ underrated,-12.969525092978847,wanted .,-12.374983328780942
4355,$ underrated .,-12.969525092978847,didn't lol,-12.375214899156596
4356,$ undervalued,-12.969525092978847,", don't think",-12.375220036602396
4357,$ undervalued . . .,-12.969525092978847,debates,-12.375282839261189
4358,$ vix,-12.969525092978847,getting upset,-12.375290231549661
4359,$ vix thank,-12.969525092978847,u did,-12.375321193296633
4360,$ wins,-12.969525092978847,reading twitter,-12.375333505071023
4361,$ wins 3rd,-12.969525092978847,does tell,-12.375373576241476
4362,$ worth,-12.969525092978847,thread .,-12.375381406030904
4363,$ worth v,-12.969525092978847,popularity,-12.375384661481643
4364,$ xtl,-12.969525092978847,tell .,-12.37546834469689
4365,$ xtl .,-12.969525092978847,momma,-12.375561906341355
4366,$ y,-12.969525092978847,ironically,-12.375603984298754
4367,$ y rep,-12.969525092978847,logging,-12.375646600819532
4368,% $,-12.969525092978847,absolutely reason,-12.375768391221627
