,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
2899,nikkimcentee17,"@danielmwarwick hard to subtweet people when you're chairing the meeting, isn't it? not nearly as fun being in charge!",951266407261573120,danielmwarwick,"""we have a great team of many consultants""",951265811255250944
2900,omgmorgaan,@slootluke okay thx for the subtweet,951265362263396352,slootluke,"Popular opinion, if you think whataburger is lame then you’re lame 💁🏼",951265252435472384
2901,alaynasparkles,@donalicious_140 Way to subtweet you immature fuck,951264770451234816,donalicious_140,I have $100 for any girl that does not still text their ex.,951158031487782913
2902,ATrageser,@laauurr97 bitch subtweet me again,951264007457042432,laauurr97,Collin and ally are always late to our double dates,951204586534133766
2903,Goodie1969,@IndianaJedi @TheApexFan Don't subtweet @NoSJWs1234567 like that.,951257484798373893,TheApexFan,New Superpower: Accurately guessing how many followers someone has based on their comment.,951247608265101312
2904,Stephanie_Sco,@itsAddie_ Is this a subtweet @ the grapes? Ouch lol,951253305942044673,itsAddie_,everyone I send snapchats to usually leaves me on open and honestly I’m offended,951202258661801984
2905,mueller_ethan,@alydalea @alexisBlazek @alydalea I think this is a subtweet,951251200925753344,alexisBlazek,If you find a man that meets all your criteria but he won't scrape your windshield for you he ain't worth it,951247455227654144
2906,longarmdan,@courtnidotcom This is a real specific subtweet,951246812807090176,courtnidotcom,Tim come home I miss you babe let’s work this out.,951245924436795392
2907,iPurrple,@thgreatape445 lol u aint gonna do anything except subtweet him,952688151784509440,thgreatape445,Some bitch is wearing an odell Beckham jersey at a bar we're at,952687961153384455
2908,dumbasszoe,@nayeli4prez Learn how to subtweet,952682930572165120,nayeli4prez,i kept taking breaks because of this manga i'm rereading,952682484193374208
2909,notjamielerner,@NYhalalking Is this a subtweet about me,952682138696110080,NYhalalking,i am convinced i'm the only good driver in the world,952669500104638465
2910,TAFKASirThinks,@MooreOfKaitlyn This appears to be a subtweet https://t.co/TyE7GY2tdO,952682056433262593,MooreOfKaitlyn,"Make an effort, not an excuse.",952681407943409664
2911,BobFraust,@DRTYWHTVNS Don’t subtweet me girl.,952675830349619201,DRTYWHTVNS,"people only thin about me, me, me.. nowadays",952654877087404033
2912,WehbyJammin,@MoEgger1530 The subtweet game is strong in you,952674761187971073,MoEgger1530,Fun to watch an opposing quarterback go into Heinz Field and not look scared.,952645070871760899
2913,plathitude,@tyronem Sick subtweet,952671994021113857,tyronem,"Wishes for tweetdeck:
timing mutes for &lt;x&gt; days/weeks
drag and drop images
right click a phrase to mute",952671834109022208
2914,infiniteaviary,@IdahoBones don't subtweet me,952671793319473153,IdahoBones,"guy idling outside his apt in a matte black bmw license plate ""GODKING""",952581215110008837
2915,Http_hyd,@Tweetysonnyzz well not with you or anyone its just a subtweet,952671207387811840,Tweetysonnyzz,You just tried starting drama 30 mins ago but whatever,952670599360499713
2916,PretendMunchkin,@SingleVixxen this is a subtweet to me...isn't it? 😩🙄,952667309784510464,SingleVixxen,Good morning to everyone except people who RT but don’t hit like.,952567596464910336
2917,gianni_mandia,@lillicarey_ You told me and said that you were going to subtweet me,952665762702950401,lillicarey_,Not to be dramatic but shut up,952363842427936768
2918,Gemstokes2000,"@PatriciaBTW Pro tip: don’t subtweet fit people, they see it and quote tweet u",952664852581019648,PatriciaBTW,"hope everyone has a good day today, especially to that incredibly FIT girl I saw at the tattoo shop yesterday",952663886963949568
2919,gentlemenRich,"@PMuncie I've seen like 300 super bowls. So I'll wake up tomorrow worried about my 401k as per usual. Sweet subtweet, tho.",952661393240723456,PMuncie,Steelers always gonna Steeler. Typical collapse.,952645451278356482
2920,jjjooshh,@mezzymonday what subtweet ?,952661309014847489,mezzymonday,*WaIts FoR kAyLa To AnSwEr JoShS sUbTwEeT*,952660876984758272
2921,Ashlynshea29,"@ItsJennaRene Okay, bitch, you just gotta ask you don’t gotta subtweet me. Damn.",952659955366146053,ItsJennaRene,I just wanna hang out w my boo sos,952659417140523009
2922,avaadavies,@EveAllin SUCH subtweet oml,952658743740821505,EveAllin,if u send me u links to environmental activist theatre groups then thats basically a sext im just saying,952657457150681089
2923,HardlyBoysBand,@loser513 I’m sure this is a subtweet but there are truly so many bands this could be 🤔,952657890124312576,loser513,no offense but fuck a band of white dudes profiting off of the unpaid labor of others AND touring with a band of known creeps,952657329803091968
2924,j__ball,@Bryanbrosnan10 Is this a subtweet for @Juelz_Santana00 ?,952649700540370944,Bryanbrosnan10,I want an Antonio Brown jersey for my birthday.,952643148873912320
2925,RachelSayaJ,@chickenluvr1995 subtweet @arzE,952649069540683776,chickenluvr1995,"My ideal man: Dark hair, obsessed with Twitter and anime, sings in an indie band, loves Mexican cuisine",952605031294840832
2926,JerrieDesu,"@no_fame17 How you going to subtweet? I just asked a question, because it was almost word for word from a tweet that went viral 🤷🏾‍♂️",952649021755142144,no_fame17,Ppl act like we supposed to know every tweet made by men,952642227632857089
2927,chrys_alissa,"@chalin @OhDianeMarie @sparkes_idea * thread might be a subtweet but is re general truths vs specific stories
* you… https://t.co/tCLhTXRJas",952648907594625026,MelindaTaub,"Hot Sex Tip: If she is sending you Mixed Signals, and some of the signals are ""I am scared and sad about this sex,"" stop.",952394571815800838
2928,LegalizeKeith,@gotjuice33 Why didn’t you say hi to @SonofClem no need to subtweet him,952647306196783105,gotjuice33,20+ year old man vaping in the grocery store while shopping w his mother..,952641489619816449
2929,JessyGee10,@fuqhype So you just gunna subtweet me?,952646471769235456,fuqhype,I hate when people can’t reas through a typo 😒,952645571520618496
2930,Monkeydonia,@HannuhBananuuh you dare come to my house and subtweet me,952640555602726912,HannuhBananuuh,tired of just being here for when people are bored and don’t have anyone else,952640314744999938
2931,skrupeIlos,@FukoKirai subtweet,952640525244534787,FukoKirai,immer deprikicks wenn ich accs mit 200 followern sehe die nach 1 minute 7 favs haben und ich mitterweile nach 2 grad 1 fav,952639162561245186
2932,maddie92345,@cuntrybumpkin_ Wow... I️ didn’t think ud subtweet me just....wow,952635248730365952,cuntrybumpkin_,Wow...didn’t think you’d make fun of me for things I can’t control...,952635079167225857
2933,heyitshaley6,@TyreeDTaylor8 cause you didn’t subtweet or “oomf” or play no games. just said it,952634545307664384,TyreeDTaylor8,Why is everyone liking that tweet? I don’t get it,952601990755901440
2934,rcmoya84,@KarlynneEjerci1 LMFAO I want to know what this subtweet is about,952633659248398336,KarlynneEjerci1,casting a cishet relationship as queer is an american superpower often found in institutions of higher education,952627518145576960
2935,TheJamesFerola,@KeepPounDENN Do you subtweet/troll the patriots in every tweet or just 99/100? Asking for your friend james.,952625396184477698,KeepPounDENN,"Hold on guys, if AB goes to the ground within the next 30 seconds he still needs to control that ball.",952617223285297153
2936,ShutUpAndrosky,@alanalevinson you should just @ jerry with this subtweet,952624864380071936,alanalevinson,Uhhhh wyd dating women so young they haven’t seen Seinfeld,952624452809838592
2937,tirentu,@ArcticMeebo dont subtweet me like this,952623636619452427,ArcticMeebo,"*isnt getting attention on social media*

*posts about the ban announcement tomorrow*

Ahh, much better.",952590459003703296
2938,saskiahennessy,@JessElinor I'm assuming this is a subtweet but honestly what the fuck does it even say,952623372684361728,JessElinor,Year 8 style problems is it thought ppl matured as they grew up 😂🙄,952569811816603648
